Size;HeapArrayTime;HeapArrayIters;HeapListTime;HeapListIters;TreeArrayTime;TreeArrayIters;TreeListTime;TreeListIters
3925;2012;90682;1657;90682;3732;58439;1853;58439
8223;11032;207506;2365;207506;2277;136070;2351;136070
8861;1532;225518;1788;225518;1292;150859;1474;150859
8269;1086;208624;1274;208624;1116;142873;1296;142873
3204;511;72314;450;72314;447;47174;483;47174
6405;814;157438;951;157438;845;108734;1040;108734
8137;1120;204902;1287;204902;1199;140068;1280;140068
398;36;6562;58;6562;42;4301;47;4301
1884;240;39492;279;39492;376;26642;259;26642
3885;844;89710;554;89710;506;60828;567;60828
6319;770;155038;906;155038;931;105741;971;105741
2367;246;51272;333;51272;516;32832;439;32832
4910;578;116678;663;116678;629;83057;708;83057
114;9;1498;25;1498;12;925;24;925
9796;1273;252664;1320;252664;1512;183733;1645;183733
676;58;12176;53;12176;68;8274;64;8274
2950;317;66036;346;66036;349;47409;356;47409
3925;440;90650;462;90650;482;58975;503;58975
743;66;13634;64;13634;76;9133;73;9133
9485;1244;243846;1317;243846;1379;168327;1436;168327
6347;779;155692;805;155692;951;112410;931;112410
4992;859;119078;988;119078;966;78513;1142;78513
3097;600;69758;635;69758;1294;47781;688;47781
8502;1093;215404;1230;215404;1134;151003;1259;151003
2891;324;64504;329;64504;345;46168;354;46168
1009;99;19338;137;19338;113;13336;114;13336
5511;667;132862;743;132862;879;86253;768;86253
5054;584;120664;688;120664;1155;89553;704;89553
7779;988;195148;1392;195148;1175;137799;1585;137799
7383;997;184204;974;184204;1226;126456;1107;126456
5530;652;133552;672;133552;744;95187;568;95187
7173;887;178542;985;178542;729;128102;800;128102
6795;834;167988;849;167988;700;115086;750;115086
6870;839;170226;847;170226;669;112586;710;112586
8332;1111;210684;1147;210684;855;146268;878;146268
4122;441;95770;446;95770;338;65074;330;65074
2793;285;62044;285;62044;209;45033;206;45033
7615;947;190674;966;190674;755;130107;756;130107
5220;579;125098;587;125098;460;96297;460;96297
5513;618;133070;609;133070;479;84627;485;84627
238;17;3576;17;3576;13;2359;8;2359
1784;170;37266;170;37266;121;24863;116;24863
8560;1074;217056;1482;217056;867;155205;954;155205
9080;1083;232112;1118;232112;936;160829;946;160829
1069;93;20720;95;20720;73;13446;72;13446
7514;921;187888;1338;187888;746;128425;862;128425
1735;163;36074;166;36074;132;25547;123;25547
414;33;6906;34;6906;27;4638;20;4638
2788;305;61930;309;61930;244;44930;232;44930
6194;734;151510;763;151510;620;104368;632;104368
4429;501;103984;515;103984;415;67648;415;67648
8290;1026;209340;1005;209340;806;139466;907;139466
7603;970;190016;987;190016;804;132406;837;132406
6949;1201;172162;910;172162;789;117104;756;117104
9845;1279;253894;1317;253894;1073;177658;1194;177658
5755;711;139688;923;139688;640;98341;678;98341
1765;179;36744;178;36744;140;25269;142;25269
4303;469;100496;464;100496;400;69526;390;69526
629;51;11290;52;11290;42;7397;40;7397
129;9;1732;9;1732;8;1183;4;1183
9263;1135;237234;1207;237234;973;168490;1032;168490
4141;471;96250;486;96250;388;62484;401;62484
3108;337;69938;349;69938;268;46890;269;46890
4138;470;96318;484;96318;393;65336;409;65336
9177;1189;234762;1281;234762;1063;158764;1059;158764
918;84;17406;85;17406;65;11732;57;11732
5138;613;122948;665;122948;512;77067;523;77067
2409;255;52332;274;52332;214;36280;213;36280
9729;1184;250598;1228;250598;1095;172508;1065;172508
5789;695;140638;715;140638;602;93508;589;93508
