Size;InsertTimeUs;SearchTimeUs;DeleteTimeUs;BfsTimeUs;DfsTimeUs
79491;30268;724;759;11552;2364
92742;29381;691;618;3368;3240
32595;5488;262;192;1586;371
54664;10618;399;255;829;748
27355;4139;238;224;352;301
12328;1656;152;191;128;124
29047;5348;221;203;396;335
43128;9522;376;250;797;684
72227;27333;547;441;1658;1485
80295;20361;386;288;1136;1023
21464;3082;187;138;227;204
10639;1295;98;108;110;94
92048;23997;407;253;1207;1156
47740;11158;331;202;612;579
48440;8506;296;187;607;588
36110;6312;281;235;482;442
3112;319;75;84;28;29
43583;8042;246;190;688;501
18189;2644;148;135;203;186
9116;1162;92;104;138;84
40845;9123;305;211;595;516
19606;2679;154;174;234;195
98973;28780;434;349;1888;1294
68676;17531;408;261;1012;877
70631;17123;416;327;1013;874
83383;20943;417;309;1605;1236
2455;250;70;96;21;20
97993;26904;428;266;1806;1387
7373;1602;170;136;114;93
65521;17664;397;275;1292;1078
2788;285;74;82;25;24
85753;18657;403;282;1271;1100
47971;8492;284;186;615;565
51691;9560;283;196;755;663
82547;18386;348;228;1097;1011
863;71;52;57;5;4
39336;6916;249;167;479;454
36556;5781;196;162;433;405
46162;7387;245;169;554;527
40128;5852;195;151;476;441
50110;8828;232;171;594;613
80918;15793;250;204;983;939
5493;568;76;85;51;43
8385;962;89;98;78;70
63127;13004;229;182;759;776
91526;18214;353;209;1127;1131
28345;4341;193;148;308;290
79831;15477;355;217;1003;978
77305;16328;339;218;1023;976
11418;1323;96;105;114;99
45800;7541;233;169;530;674
36649;6963;262;188;467;402
46082;7900;325;356;601;555
45832;7670;271;211;619;508
1078;124;80;216;14;13
98340;20328;298;261;1365;1289
43575;8379;212;206;534;483
39432;6702;188;194;547;470
60646;10940;252;195;778;706
58237;12624;347;327;1115;1090
66779;16404;350;275;871;820
61292;11606;328;217;878;759
31224;5221;216;178;541;383
50421;10343;294;204;717;657
6191;751;92;108;67;53
64506;14355;372;198;967;874
89856;22827;379;243;1154;1106
85950;24407;419;263;4454;1011
67597;14156;289;204;885;853
18447;2732;139;127;196;185
